1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,EnclosedPorch,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,WoodDeckSF,YearBuilt,YearRemodAdd,SalePrice
1098,866.0,4.0,No,403,Unf,400,0.0,483,RFn,1976.0,1964,TA,10480,80.0,660.0,69,6,7,803,0.0,1976,1976,205000
792,348.0,3.0,No,0,Unf,576,0.0,0,None,1981.0,1140,TA,8800,55.0,0.0,160,7,4,576,0.0,1910,2004,96500
894,0.0,3.0,No,702,BLQ,192,0.0,450,RFn,1967.0,894,Gd,9764,57.0,0.0,0,7,5,894,0.0,1967,2003,130000
1512,1142.0,4.0,Mn,619,BLQ,435,0.0,619,Unf,1968.0,2654,Gd,11029,69.0,220.0,65,7,6,1054,0.0,1968,1984,250000
768,0.0,2.0,Av,660,Unf,108,0.0,396,Fin,1974.0,768,TA,7200,60.0,0.0,0,8,5,768,0.0,1972,2003,133900
672,0.0,2.0,None,0,None,0,0.0,0,None,1981.0,912,TA,6240,52.0,0.0,0,5,4,0,0.0,1947,1950,80500
1040,1040.0,5.0,Av,650,Rec,390,0.0,504,Unf,1969.0,2080,Fa,11606,70.0,192.0,0,5,5,1040,0.0,1969,1969,135000
1040,0.0,3.0,No,732,GLQ,308,0.0,576,Unf,2000.0,1040,Gd,12464,82.0,0.0,0,5,5,1040,0.0,1996,1996,152000
1149,467.0,3.0,Mn,370,LwQ,779,0.0,216,Unf,1926.0,1616,Gd,5400,40.0,0.0,0,7,6,1149,0.0,1926,2004,152000
1047,0.0,2.0,No,0,Unf,641,0.0,273,Unf,1954.0,1047,TA,10800,60.0,0.0,0,7,4,641,0.0,1885,1995,100000
1803,0.0,3.0,No,168,Rec,284,0.0,484,RFn,1957.0,1803,TA,13125,88.0,67.0,0,4,5,1134,0.0,1957,2000,155000
832,0.0,2.0,No,0,Unf,832,0.0,528,Unf,1962.0,832,Gd,7227,59.0,0.0,0,6,6,832,0.0,1954,1954,105500
894,0.0,3.0,No,180,Rec,340,0.0,384,Unf,1966.0,894,TA,7094,99.0,0.0,0,5,5,894,0.0,1966,1966,125000
596,596.0,3.0,Mn,0,Unf,596,0.0,189,Unf,1920.0,1192,TA,6402,60.0,0.0,0,5,5,596,0.0,1920,1950,78000
1850,0.0,3.0,Gd,1261,GLQ,572,0.0,772,Fin,2004.0,1850,Gd,16033,98.0,378.0,112,5,9,1833,0.0,2004,2005,326000
899,0.0,3.0,No,450,ALQ,414,0.0,288,Fin,1967.0,899,Gd,7800,65.0,89.0,0,7,5,864,0.0,1967,2004,130000
892,0.0,3.0,No,340,Rec,524,0.0,264,RFn,1966.0,892,TA,9477,69.0,65.0,0,5,5,864,0.0,1966,1966,110000
1260,1031.0,4.0,Mn,1046,Rec,168,0.0,506,Unf,1900.0,2291,TA,7200,60.0,0.0,0,6,6,1214,0.0,1910,1998,133900
1075,1063.0,2.0,No,0,Unf,849,0.0,360,Unf,1910.0,2138,TA,8100,90.0,0.0,156,5,5,849,0.0,1898,1965,106000
926,678.0,3.0,No,0,Unf,926,0.0,470,Fin,1997.0,1604,TA,10839,100.0,0.0,36,5,6,926,0.0,1997,1998,181000
887,1134.0,3.0,No,0,Unf,868,0.0,422,RFn,2006.0,2021,Gd,23257,168.0,0.0,100,5,7,868,0.0,2006,2006,274725
938,0.0,3.0,Av,280,LwQ,167,0.0,308,Unf,1977.0,938,TA,9200,69.0,0.0,0,6,5,938,145.0,1975,1980,130250
912,514.0,3.0,No,0,Unf,912,0.0,216,Unf,1925.0,1426,Gd,7642,55.0,0.0,240,8,7,912,0.0,1918,1998,189950
928,992.0,4.0,No,220,Rec,708,0.0,400,Unf,1948.0,1920,TA,11345,95.0,567.0,0,5,5,928,0.0,1948,1950,137000
1098,0.0,3.0,No,902,ALQ,196,0.0,260,Unf,1955.0,1098,TA,7390,69.0,151.0,0,7,5,1098,0.0,1955,1955,135000
729,0.0,2.0,No,0,Unf,270,0.0,0,Unf,1981.0,729,TA,4130,56.0,0.0,0,6,3,270,0.0,1935,2003,52000
1252,0.0,3.0,No,0,Unf,1252,0.0,528,Unf,1960.0,1252,Gd,10721,80.0,243.0,39,6,6,1252,0.0,1959,1959,142000
1584,0.0,4.0,No,0,Unf,1584,0.0,792,Unf,1967.0,1584,TA,8944,65.0,0.0,152,5,5,1584,0.0,1967,1967,124000
1506,0.0,2.0,No,0,Unf,1498,0.0,592,Unf,2008.0,1506,Ex,14587,75.0,284.0,174,5,9,1498,0.0,2008,2008,264132
1709,0.0,2.0,Av,1238,GLQ,460,0.0,506,Fin,1999.0,1709,Gd,5119,50.0,60.0,65,5,9,1698,0.0,1999,2000,328900
1092,0.0,2.0,No,895,Rec,197,0.0,299,Fin,1957.0,1092,TA,14850,69.0,0.0,0,5,5,1092,0.0,1957,1957,141000
1746,0.0,3.0,Gd,1320,GLQ,426,0.0,758,Fin,2006.0,1746,Ex,14892,42.0,160.0,39,5,9,1746,0.0,2006,2007,377500
1304,983.0,3.0,No,603,BLQ,701,0.0,667,Fin,1953.0,2287,TA,15593,81.0,0.0,21,4,7,1304,0.0,1953,1953,225000
789,0.0,2.0,No,0,Unf,768,0.0,200,Unf,1926.0,789,TA,10594,55.0,0.0,0,5,5,768,0.0,1926,1950,96500
1041,0.0,3.0,No,991,ALQ,50,0.0,270,RFn,1959.0,1041,TA,9600,80.0,132.0,88,6,5,1041,0.0,1959,1959,124500
993,915.0,4.0,No,0,Unf,967,0.0,431,Fin,2002.0,1908,Gd,14191,85.0,0.0,0,5,8,967,0.0,2002,2002,202900
1010,1257.0,4.0,No,0,Unf,1010,0.0,390,RFn,2002.0,2267,Gd,8068,69.0,0.0,46,5,6,1010,0.0,2002,2002,200000
875,0.0,2.0,No,209,BLQ,506,0.0,180,Unf,1931.0,875,TA,6120,51.0,0.0,0,7,5,715,0.0,1931,1993,105000
1526,0.0,4.0,Av,383,Rec,833,0.0,364,Unf,1957.0,1526,TA,8562,68.0,145.0,78,6,5,1216,116.0,1957,2002,144500
1567,0.0,2.0,Gd,1567,ALQ,0,0.0,714,RFn,1977.0,1567,Gd,9819,69.0,0.0,32,5,6,1567,0.0,1977,1977,196000
1734,1088.0,3.0,Gd,0,Unf,1734,0.0,1020,RFn,2009.0,2822,Ex,13891,107.0,424.0,170,5,9,1734,0.0,2008,2009,582933
689,689.0,3.0,No,141,Rec,548,0.0,360,Unf,1928.0,1378,Gd,9600,60.0,0.0,0,9,7,689,0.0,1928,2005,161000
1281,457.0,4.0,No,0,Unf,715,0.0,368,Unf,1920.0,1738,TA,12513,69.0,0.0,0,4,4,715,0.0,1920,2007,104900
1164,896.0,4.0,No,831,GLQ,320,0.0,521,Unf,1988.0,2060,TA,10029,97.0,268.0,228,5,6,1151,0.0,1988,1989,211000
1128,0.0,2.0,No,812,LwQ,124,0.0,286,Unf,1954.0,1128,TA,9000,75.0,0.0,0,5,5,936,0.0,1954,1954,118000
840,880.0,3.0,No,0,Unf,840,0.0,440,Fin,2004.0,1720,Gd,8244,62.0,0.0,48,5,7,840,0.0,2004,2004,183500
1050,0.0,2.0,No,504,Rec,546,0.0,338,Unf,1956.0,1050,TA,9600,80.0,0.0,0,6,5,1050,0.0,1956,1956,128900
1114,0.0,3.0,No,814,GLQ,300,0.0,576,Unf,2004.0,1114,Gd,13695,66.0,0.0,78,5,6,1114,0.0,2003,2004,155000
1053,0.0,3.0,No,567,Rec,413,0.0,750,RFn,1998.0,1053,Ex,8973,69.0,85.0,80,7,5,1008,0.0,1958,1991,150000
1593,0.0,0.0,Av,1153,GLQ,440,0.0,682,Fin,2001.0,1593,Ex,4923,41.0,0.0,120,5,8,1593,0.0,2001,2002,286000
1214,0.0,3.0,No,695,BLQ,519,0.0,318,RFn,1967.0,1214,TA,10355,69.0,196.0,111,5,5,1214,0.0,1967,1967,143000
816,0.0,3.0,No,641,ALQ,175,0.0,264,Unf,1982.0,816,Gd,6600,60.0,0.0,0,9,5,816,0.0,1982,2008,130500
1535,0.0,4.0,None,0,None,0,0.0,400,Unf,1979.0,1535,TA,7018,64.0,0.0,0,5,5,0,0.0,1979,1979,118858
1360,1360.0,3.0,No,1036,Unf,140,0.0,795,Unf,1918.0,3112,Gd,25419,174.0,0.0,16,4,8,1360,0.0,1918,1990,235000
1079,840.0,3.0,Av,0,Unf,1079,0.0,685,RFn,2006.0,1919,Gd,15611,120.0,0.0,51,5,8,1079,0.0,2006,2006,233230
1097,0.0,3.0,No,0,Unf,1097,0.0,672,Unf,1995.0,1097,TA,10859,112.0,0.0,64,5,5,1097,0.0,1994,1995,145000
983,767.0,4.0,Mn,660,ALQ,323,0.0,423,Unf,1989.0,1750,TA,12508,75.0,0.0,0,7,6,983,0.0,1940,1985,160000
483,504.0,2.0,No,0,Unf,483,0.0,288,Unf,1972.0,987,TA,1680,21.0,297.0,0,5,6,483,0.0,1972,1972,94500
981,0.0,3.0,No,282,ALQ,664,0.0,576,Unf,1979.0,981,TA,10530,69.0,0.0,312,5,6,981,0.0,1971,1971,143250
1700,0.0,4.0,No,1018,Rec,380,0.0,447,RFn,1959.0,1700,Gd,10552,70.0,0.0,38,5,5,1398,0.0,1959,1959,165500
816,0.0,2.0,No,708,GLQ,108,0.0,308,Unf,1957.0,816,TA,7100,73.0,0.0,0,7,5,816,0.0,1957,1957,129900
944,896.0,3.0,No,666,GLQ,278,0.0,622,RFn,2001.0,1840,Gd,12420,79.0,0.0,45,5,7,944,0.0,2001,2001,230000
1291,1230.0,5.0,No,837,ALQ,105,0.0,576,Unf,1973.0,2521,TA,3964,42.0,0.0,20,4,6,942,0.0,1973,1973,151400
1002,0.0,3.0,No,828,BLQ,174,0.0,902,Unf,1973.0,1002,TA,8750,69.0,76.0,0,6,5,1002,0.0,1970,1970,148500
841,0.0,2.0,No,0,Unf,721,0.0,294,Unf,1950.0,841,TA,8400,60.0,0.0,0,4,4,721,0.0,1950,1950,82000
996,0.0,2.0,Av,747,GLQ,189,0.0,564,Unf,1992.0,996,Gd,9069,73.0,0.0,0,6,6,936,0.0,1992,1992,147000
1713,0.0,3.0,Av,1088,GLQ,625,0.0,856,Fin,2004.0,1713,Ex,9591,76.0,262.0,26,5,8,1713,0.0,2004,2005,274900
1412,0.0,3.0,Mn,1005,GLQ,387,0.0,576,Unf,1988.0,1412,Gd,11457,130.0,0.0,0,5,6,1392,0.0,1988,1988,175000
1236,0.0,2.0,No,600,GLQ,312,0.0,923,Unf,1957.0,1236,TA,7407,90.0,0.0,158,7,6,912,0.0,1957,1996,149700
1040,0.0,3.0,Gd,633,ALQ,431,0.0,648,Unf,1963.0,1040,TA,25286,94.0,0.0,0,5,4,1064,0.0,1963,1963,132250
1616,0.0,2.0,No,1180,GLQ,415,0.0,608,RFn,1995.0,1616,Gd,5389,39.0,0.0,152,5,8,1595,0.0,1995,1996,236500
1414,0.0,3.0,No,528,ALQ,245,0.0,601,Unf,1990.0,1414,TA,11029,87.0,0.0,51,8,6,1184,0.0,1958,2002,176500
975,975.0,3.0,No,649,Unf,326,0.0,576,RFn,1997.0,1950,Gd,7399,66.0,1600.0,10,5,7,975,0.0,1997,1998,239000
1086,0.0,3.0,No,320,ALQ,404,0.0,490,Unf,1989.0,1086,TA,10200,85.0,104.0,0,7,5,1086,0.0,1954,2003,144900
1072,504.0,3.0,Gd,1309,GLQ,15,0.0,528,RFn,1923.0,1576,Gd,21384,144.0,0.0,312,6,5,1324,0.0,1923,2004,223500
768,0.0,2.0,Av,619,ALQ,149,0.0,624,Unf,1987.0,768,TA,7244,54.0,0.0,0,7,5,768,0.0,1970,1970,129500
1381,0.0,3.0,No,982,ALQ,179,0.0,676,Unf,1972.0,1381,Gd,9360,78.0,0.0,0,7,6,1161,0.0,1972,2006,197500
1284,885.0,3.0,No,0,Unf,1284,0.0,647,RFn,2002.0,2169,Gd,9375,69.0,149.0,87,5,8,1284,0.0,2002,2002,228500
720,0.0,2.0,None,0,None,0,0.0,287,Unf,1955.0,720,TA,6627,69.0,0.0,0,6,3,0,0.0,1949,1950,72500
1584,1208.0,3.0,No,493,LwQ,1017,0.0,520,Unf,1920.0,2792,TA,10440,60.0,0.0,547,7,6,1510,0.0,1920,1950,256000
936,0.0,2.0,No,0,Unf,936,112.0,576,Unf,1974.0,936,TA,6000,60.0,0.0,32,4,4,936,0.0,1953,1953,93000
1181,0.0,3.0,Av,920,BLQ,38,0.0,588,RFn,1974.0,1181,TA,10012,90.0,0.0,0,5,4,1138,0.0,1972,1972,137500
1689,0.0,3.0,Av,0,Unf,1689,0.0,954,RFn,2007.0,1689,Gd,9849,83.0,0.0,56,6,7,1689,0.0,2007,2007,248328
948,0.0,3.0,No,732,Rec,216,0.0,280,Unf,1956.0,948,TA,8190,60.0,0.0,36,6,4,948,0.0,1954,1954,119000
756,756.0,2.0,No,420,GLQ,336,0.0,440,Unf,2000.0,1512,Gd,2117,69.0,513.0,32,5,6,756,0.0,2000,2000,168500
894,0.0,3.0,No,492,BLQ,402,0.0,450,Unf,1968.0,894,TA,8724,109.0,0.0,0,5,5,894,0.0,1968,1968,129000
932,920.0,3.0,No,822,GLQ,78,0.0,644,RFn,2009.0,1852,Gd,8640,72.0,0.0,108,5,7,900,0.0,2009,2009,252678
845,0.0,3.0,None,0,None,0,0.0,290,Unf,1957.0,845,TA,11500,69.0,0.0,0,3,4,0,0.0,1957,1957,84000
774,0.0,3.0,No,544,Rec,0,286.0,0,None,1981.0,774,Gd,4270,70.0,0.0,0,6,3,544,0.0,1931,2006,79000
2053,1185.0,4.0,Av,816,Unf,1217,0.0,666,Fin,1996.0,3238,Gd,14720,56.0,579.0,86,5,8,2033,0.0,1995,1996,410000
1232,0.0,2.0,Av,724,GLQ,508,0.0,632,Unf,2007.0,1232,Gd,7314,64.0,82.0,0,5,7,1232,0.0,2007,2007,194500
1164,0.0,3.0,No,0,Unf,1164,0.0,528,Unf,1969.0,1164,TA,9600,80.0,168.0,0,5,7,1164,0.0,1969,1969,140000
912,336.0,2.0,No,324,LwQ,588,0.0,160,Unf,1957.0,1248,TA,9439,52.0,0.0,0,5,5,912,0.0,1930,1950,87000
1687,0.0,3.0,Av,353,BLQ,60,50.0,572,Unf,1966.0,1687,TA,57200,69.0,0.0,0,5,5,747,0.0,1948,1950,160000
860,1100.0,4.0,No,625,GLQ,235,0.0,440,Fin,2002.0,1960,Gd,7851,69.0,0.0,48,5,6,860,288.0,2002,2002,216500
546,0.0,3.0,No,273,BLQ,0,0.0,286,RFn,1970.0,1092,TA,2217,21.0,0.0,0,4,4,546,0.0,1970,1970,88000
894,0.0,3.0,No,552,Unf,342,0.0,400,Unf,1999.0,894,TA,9450,68.0,0.0,0,5,4,894,0.0,1954,1954,110000
1479,0.0,3.0,Av,1013,GLQ,440,0.0,558,RFn,2003.0,1479,Gd,10665,72.0,167.0,29,5,7,1453,0.0,2003,2003,226000
1060,0.0,3.0,Mn,188,Rec,204,0.0,270,Unf,1968.0,1060,Gd,8246,69.0,0.0,90,8,5,1060,0.0,1968,2001,154000
1436,0.0,3.0,Mn,946,GLQ,490,0.0,484,Unf,2004.0,1436,Gd,8450,65.0,266.0,98,5,7,1436,139.0,2004,2004,210000
1044,0.0,2.0,Av,0,Unf,540,0.0,504,Unf,1952.0,1044,Fa,8712,66.0,0.0,0,5,5,540,0.0,1952,1952,55993
880,888.0,2.0,Mn,390,Unf,490,0.0,320,Unf,1914.0,1768,TA,10800,60.0,0.0,341,7,7,880,0.0,1914,1970,163000
816,0.0,2.0,Av,538,Unf,278,0.0,432,Unf,2002.0,816,TA,5890,69.0,0.0,0,8,6,816,0.0,1930,2007,120500
774,656.0,3.0,No,250,GLQ,134,0.0,400,Fin,2000.0,1430,TA,7750,69.0,0.0,0,5,7,384,0.0,2000,2000,180000
1867,0.0,2.0,No,379,LwQ,470,0.0,303,Fin,1955.0,1867,TA,10708,69.0,0.0,0,5,5,1617,0.0,1955,1993,190000
1500,0.0,3.0,Av,1070,GLQ,286,0.0,648,Fin,2006.0,1500,Gd,4045,53.0,45.0,20,5,7,1356,0.0,2006,2006,246578
1100,0.0,3.0,No,419,ALQ,375,0.0,312,RFn,1960.0,1100,TA,12493,69.0,0.0,0,5,4,1100,355.0,1960,1960,141000
816,0.0,3.0,Gd,546,ALQ,270,0.0,264,Unf,1982.0,816,TA,8314,76.0,0.0,0,7,5,816,0.0,1982,1982,124500
1328,0.0,2.0,Gd,967,BLQ,383,0.0,308,Unf,1959.0,1328,TA,16905,115.0,0.0,104,6,5,1350,0.0,1959,1959,170000
1728,568.0,3.0,Gd,1338,GLQ,384,0.0,842,RFn,2008.0,2296,Ex,13478,97.0,420.0,274,5,10,1722,0.0,2008,2008,451950
864,0.0,2.0,No,167,Rec,697,0.0,572,Unf,1957.0,864,TA,8172,60.0,0.0,0,7,5,864,0.0,1955,1990,115000
1266,0.0,3.0,No,0,Unf,1257,0.0,453,Unf,2005.0,1266,Gd,7500,62.0,0.0,144,5,7,1257,0.0,2005,2005,176000
858,0.0,3.0,No,614,BLQ,244,0.0,0,None,1981.0,858,TA,8125,69.0,0.0,0,4,4,858,0.0,1971,1971,88000
832,878.0,3.0,No,426,GLQ,406,0.0,506,RFn,1993.0,1710,Gd,9291,76.0,120.0,70,5,6,832,0.0,1993,1993,187000
772,351.0,3.0,No,0,Unf,732,0.0,264,Unf,1979.0,1123,TA,6060,50.0,0.0,0,5,4,732,0.0,1939,1950,100000
953,694.0,3.0,No,0,Unf,953,0.0,460,RFn,1999.0,1647,TA,7917,62.0,0.0,40,5,6,953,0.0,1999,2000,175000
874,0.0,3.0,No,510,Unf,354,0.0,288,RFn,1968.0,874,TA,9858,62.0,0.0,0,6,5,864,33.0,1968,1968,130000
1788,0.0,3.0,Av,0,Unf,1753,0.0,522,RFn,2001.0,1788,Ex,11838,69.0,0.0,151,5,8,1753,0.0,2001,2001,236500
1839,0.0,3.0,No,1186,GLQ,291,0.0,416,Fin,1957.0,1839,Gd,14442,110.0,106.0,87,7,6,1477,0.0,1957,2004,257500
1088,780.0,4.0,No,381,ALQ,399,0.0,484,Unf,1976.0,1868,Gd,10304,69.0,44.0,96,7,5,780,0.0,1976,1976,197500
1712,0.0,4.0,No,528,LwQ,1098,0.0,588,Fin,2005.0,1712,TA,8393,70.0,122.0,54,5,5,1626,0.0,1959,2005,145000
561,668.0,2.0,No,285,ALQ,276,0.0,462,Fin,1980.0,1229,TA,1300,24.0,0.0,0,6,6,561,0.0,1980,1980,124000
1600,0.0,3.0,No,0,Unf,1566,0.0,890,RFn,2007.0,1600,Gd,14230,110.0,640.0,56,5,8,1566,0.0,2007,2007,256300
916,684.0,3.0,Av,0,Unf,916,0.0,460,Fin,1997.0,1600,TA,8773,57.0,0.0,38,5,6,916,0.0,1997,1997,169000
896,448.0,3.0,No,0,Unf,896,0.0,240,Unf,1936.0,1344,TA,6240,69.0,0.0,114,4,5,896,0.0,1936,1950,115000
1126,0.0,3.0,Av,767,ALQ,266,0.0,540,RFn,1977.0,1126,Ex,15611,69.0,0.0,0,6,5,1126,0.0,1977,1977,175000
923,0.0,3.0,No,658,ALQ,218,0.0,264,Unf,1984.0,923,TA,6951,37.0,0.0,0,5,5,876,0.0,1984,1985,119500
616,0.0,2.0,No,616,LwQ,0,0.0,205,Unf,1921.0,616,TA,6000,50.0,0.0,0,7,5,616,0.0,1921,1950,89000
1800,0.0,6.0,No,0,Unf,1800,0.0,0,None,1981.0,1800,TA,8000,80.0,0.0,0,4,5,1800,0.0,1961,1961,141000
1505,0.0,2.0,No,1024,Unf,481,0.0,505,RFn,1953.0,1505,TA,12160,128.0,90.0,0,4,6,1505,0.0,1953,1953,149500
1647,0.0,3.0,Mn,1283,ALQ,0,0.0,621,Fin,1977.0,1647,Gd,12984,80.0,459.0,0,6,5,1430,0.0,1977,1977,217500
1132,0.0,2.0,No,1024,GLQ,108,0.0,451,Fin,2005.0,1132,Gd,7024,60.0,0.0,64,5,4,1132,0.0,2005,2005,176000
928,836.0,3.0,No,821,GLQ,107,0.0,470,RFn,1997.0,1764,Gd,15426,65.0,0.0,99,5,6,928,0.0,1997,1997,231500
1088,441.0,4.0,None,0,None,0,0.0,240,Unf,1945.0,1529,TA,8405,50.0,0.0,0,3,4,0,0.0,1945,1950,98000
1699,748.0,4.0,No,0,Unf,804,42.0,336,Unf,1969.0,2447,Gd,9638,50.0,0.0,0,7,6,804,0.0,1919,1990,169000
1504,0.0,1.0,No,16,GLQ,1330,0.0,457,Fin,2005.0,1504,Gd,3182,43.0,16.0,0,5,7,1346,0.0,2005,2006,181000
1163,0.0,3.0,No,256,ALQ,906,0.0,220,Unf,1955.0,1163,TA,5820,49.0,0.0,98,8,3,1162,0.0,1955,2005,126175
769,756.0,3.0,No,436,GLQ,320,0.0,440,Unf,2000.0,1525,Gd,2117,69.0,456.0,0,5,6,756,0.0,2000,2000,177000
935,0.0,3.0,No,560,BLQ,0,0.0,288,Unf,1965.0,935,TA,13526,69.0,114.0,0,6,5,935,0.0,1965,1965,137000
813,0.0,2.0,No,0,Unf,813,0.0,270,Unf,1932.0,813,Gd,5684,70.0,0.0,113,8,6,813,0.0,1930,2005,110000
1112,896.0,3.0,No,603,GLQ,293,0.0,230,Unf,1948.0,2008,Ex,7800,78.0,0.0,0,8,5,896,0.0,1948,2002,225000
1532,797.0,4.0,No,1085,GLQ,390,0.0,514,Unf,1990.0,2329,Gd,11839,86.0,99.0,121,5,7,1475,0.0,1990,1990,262280
910,648.0,4.0,No,420,BLQ,490,0.0,282,Unf,1950.0,1558,TA,13710,75.0,0.0,0,5,5,910,289.0,1950,1950,152000
832,832.0,4.0,No,194,GLQ,638,0.0,528,RFn,1976.0,1664,TA,10140,78.0,0.0,28,5,7,832,0.0,1976,1976,162900
